101,10101,10000,Thiago Ferreira
375,4644,2483.13,Jonatan Silva
234,4020,2822.52,Debora
316,3254,3350.37,Leonardo
208,7473,2615.24,Angela
348,5296,2686.03,Charles
246,3762,2638.20,Rosane
293,4068,4292.45,Marcio
161,8439,3874.86,Samara
310,4627,2176.59,Joao
464,4160,4651.51,Joana
236,4302,2318.89,Jorge
173,8027,4660.74,Nair
353,3477,2345.84,Danilo
424,6832,1566.07,Celia
146,7706,3115.31,Mauro
244,8688,1314.10,Isabel
175,3883,2309.27,Valdir
365,1436,3604.64,Jaqueline
205,3150,3679.75,Rodrigo
169,5841,1707.49,Tereza
